trade_date,000001.SZ,000002.SZ
20180709,9.03,24.01
20180710,8.98,24.15
20180711,8.78,23.46
20180712,8.88,23.85
20180713,8.88,23.72
20180716,8.73,23.15
20180717,8.72,22.98
20180718,8.7,22.47
20180719,8.73,22.68
20180720,9.11,23.14
20180723,9.42,23.75
20180724,9.4,24.38
20180725,9.38,24.18
20180726,9.25,23.71
20180727,9.25,23.32
20180730,9.39,23.18
20180731,9.42,23.32
20180801,9.15,22.35
20180802,8.94,21.38
20180803,8.91,21.08
20180806,8.94,20.86
20180807,9.17,21.86
20180808,9.05,21.5
20180809,9.29,22.48
20180810,9.23,23.18
20180813,9.05,23.04
20180814,9.0,22.32
20180815,8.79,22.3
20180816,8.78,22.72
20180817,8.81,22.69
20180820,9.0,23.35
20180821,9.23,23.91
20180822,9.29,23.92
20180823,9.36,22.82
20180824,10.03,22.78
20180827,10.43,23.91
20180828,10.29,23.88
20180829,10.27,23.91
20180830,10.12,23.5
20180831,10.13,24.05
20180903,10.19,23.55
20180904,10.43,24.43
20180905,10.05,23.41
20180906,9.97,22.81
20180907,10.01,23.21
20180910,9.88,23.46
20180911,9.91,23.34
20180912,9.88,22.88
20180913,9.96,23.1
20180914,9.84,23.32
20180917,9.69,22.83
20180918,10.08,23.0
20180919,10.24,24.17
20180920,10.23,24.01
20180921,10.67,25.8
20180925,10.55,24.64
20180926,10.71,24.67
20180927,10.74,24.45
20180928,11.05,24.3
20181008,10.45,22.05
20181009,10.56,21.82
20181010,10.45,21.75
20181011,9.86,20.93
20181012,10.3,21.8
20181015,10.11,21.47
20181016,10.37,21.01
20181017,10.33,21.22
20181018,10.09,20.59
20181019,10.76,21.56
20181022,11.15,22.82
20181023,10.84,22.14
20181024,11.04,22.58
20181025,11.29,23.49
20181026,11.18,23.81
20181029,10.75,22.8
20181030,10.9,23.69
20181031,10.91,24.23
20181101,10.83,24.42
20181102,11.09,24.62
20181105,10.92,24.04
20181106,10.84,24.14
20181107,10.81,23.85
20181108,10.89,23.99
20181109,10.55,23.55
20181112,10.56,23.88
20181113,10.54,23.94
20181114,10.44,24.15
20181115,10.62,24.38
20181116,10.57,24.78
